S/N	Course Title	Job Role	Course Outline	List of Modules	Total Duraiton Per Module 	TSC	"Total Duration

(A)

(No. of Hours)"	Modualr Course Fee Per Pax ($)	"Full Course Fee
Per Pax
(B)

($) "	"Proposed Annual 
Training Place
(D)"	CPE Approval 	CPE Changes to be done 			EL Async	FC Sync	Assignment Sync	PM Sync	PI Async
												Course Name 	Module Name 	Duration 	Async	Sync	Sync	Sync	Async
1	Advanced Certificate in Software Development  	"Job role - Application Analyst
Application Developer, UI/UX Designer, Web Developer"	"The curriculum is designed to help the learners to conceptualize the projects to meet the business requirements, plan the roadmap for development,  and build the project to fulfill the needs. The course focuses on the core skills needed to build full-stack web applications, including object-oriented programming concepts, web application development techniques, software methodologies, and frameworks to meet modern business requirements.   

The course enables the learners to design creative user interfaces with enhanced user experience by adopting a human-centric design thinking process and building full-stack web applications by leveraging JavaScript libraries like React and frameworks like Angular. Also, they learn to manage information using relational and non-relational databases.

Aside from technical capabilities, the course equips them with the creative thinking abilities needed to design the user interface, observe users' behaviour, analyze their feedback and make appropriate changes to meet the functional and design requirements. 

The learner will acquire conceptual knowledge by viewing Instructional Videos and attending scheduled lectures. The learner acquires Programming skills by performing Assignments or Lab Exercises. They will be able to apply the knowledge and skills that have learned to design and develop projects by practicing modular projects and capstone projects under the guidance of subject matter experts and industry practioners."	Module 1-Front end Development 	40.5	ICT-DES-3008-1.1: User Interface Design	243	 $1,200.00 	 $7,200.00 	200	YES- Advanced Certificate in Web  Development	Yes 	Yes 	Yes 	6	9	9	6	10
				Module 2-Programming Foundations 	40.5	ICT-DES-3005-1.1: Software Design		 $1,200.00 							6	9	9	6	10
				Module 3-Creative UI /UX Design 	40.5	ICT-DES-3007-1.1: User Experience Design		 $1,200.00 							6	9	9	6	10
				Module 4-Database Design 	40.5	ICT-DES-3001-1.1: Data Design		 $1,200.00 							6	9	9	6	10
				Module 5- Web development frameworks 	40.5	ICT-DIT-3002-1.1: Applications Development		 $1,200.00 							6	9	9	6	10
				"Module 6-Capstone Project-Software  development 
"	40.5	"ICT-DIT-3017-1.1: Test Planning
GSC-CTH-I002-1: Creative Thinking "		 $1,200.00 							0	0	0	18	22
2	Advanced Certificate in Software Implementation 	"Job Role: System Analyst, Solution Architect, Solution Developer
Project Manager, Full stack web developer "	"The curriculum is designed to help the learners to design and develop scalable applications to eliminate the pain points, promote effective collaboration among the stakeholders, and integrate an application into an organization workflow with speed and agility. Also, it enables them to test the applications and manage the problems by adopting the best practices demanded by the industry. 

The course enables the learners to design and develop enterprise applications with ease by leveraging frameworks like Spring with industry-standard authentication and role-based authorization to secure the applications. It covers the construction of web apps, REST APIs, and bidirectional, event-based systems demanded by modern businesses, including version control, functional and non-functional testing, problem management, team collaboration, and decision-making skills. 

Aside from technical capabilities, the course equips them with problem solving abilities needed to deliver seamlessly working business solutions,  evaluate application design, recommend frameworks, select testing techniques, analyze the root cause, and recommend a solution to meet business goals.

The learner will acquire conceptual knowledge by viewing Instructional Videos and attending scheduled lectures. The learner acquires Programming skills by performing Assignments or Lab Exercises. They will be able to apply the knowledge and skills that have learned to design and develop projects by practicing modular projects and capstone projects under the guidance of subject matter experts."	Module 1-Enterprise Application Design 	40.5	ICT-DES-4006-1.1: Solution Architecture	242.5	 $1,200.00 	 $7,200.00 	150	"NO
To be applied "	NA	NA	NA	6	9	9	6	10
				Module 2-Enerprise Application Development 	60.5	ICT-5002-1.1: Applications Development		 $1,800.00 							6	9	12	12	21
				Module 3-API Integration 	40.5	ICT-DIT-4003-1.1: Applications Integration		 $1,200.00 							6	9	9	6	10
